wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,bplace_continent,birthdate,birthyear,birth_decade,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,dplace_continent,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,region,is_group,l_,age,non_en_page_views,coefficient_of_variation,hpi,occupation_rank,occupation_rank_unique,birthyear_rank,birthyear_rank_unique,bplace_country_rank,bplace_country_rank_unique,bplace_name_rank,bplace_name_rank_unique,deathyear_rank,deathyear_rank_unique,dplace_country_rank,dplace_country_rank_unique,dplace_name_rank,dplace_name_rank_unique,id
q315414,364643,Israel_Gelfand,Israel Gelfand,MATHEMATICIAN,16.6822560944631,M,,False,32,22.3123072480877,Okny,47.53888889,29.46166667,50608845,Ukraine,,1913-09-02,1913,1910,"New Brunswick, New Jersey",40.486678,-74.444414,125433,United States,,2009-10-05,2009,,,,False,4.88227540865739,106,20898,3.00944685059655,55.606631621632,265,265,88,88,217,217,1,1,70,70,1521,1521,1,1,364643
q1226886,1519547,Diocles_(mathematician),Diocles,MATHEMATICIAN,7.77369282298068,M,,False,18,20.5456750474728,,,,,,,,-240,-240,,,,,,,,-180,,,,False,5.16481369193975,2259,2637,2.40872089664308,49.7278429464011,485,485,3,3,,,,,8,8,,,,,1519547
q227897,268886,Johann_Bernoulli,Johann Bernoulli,MATHEMATICIAN,0,M,,False,61,26.8469262288447,Basel,47.56666667,7.6,4911,Switzerland,,1667-08-06,1667,1660,Basel,47.55472222,7.59055556,4911,Switzerland,,1748-01-01,1748,,Switzerland,,False,10.6257895424468,352,51137,3.23286563465859,70.6963977321351,41,41,2,2,17,17,2,2,1,1,44,44,5,5,268886
q79177,383277,Philipp_Frank,Philipp Frank,MATHEMATICIAN,1.11739761496027,M,,False,20,20.4729240707158,Vienna,48.2,16.36666667,55866,Austria,,,1884,1880,"Cambridge, Massachusetts",42.37361111,-71.11055556,5685,United States,,1966-07-21,1966,,United States,,False,6.70707132545282,135,2531,2.01303356078599,49.4857508923094,494,494,95,95,528,528,244,244,99,99,2701,2701,44,44,383277
q596590,1814725,Louis_Nirenberg,Louis Nirenberg,MATHEMATICIAN,97.3560677289691,M,,True,21,20.1421285649312,"Hamilton, Ontario",43.25,-79.86666667,64646,Canada,,1925-02-28,1925,1920,,,,,,,,,,,,False,4.87471653719144,94,5447,2.70514340808847,48.3849689227819,539,539,217,217,197,197,5,5,,,,,,,1814725
q212338,242753,Philolaus,Philolaus,MATHEMATICIAN,1.11675801928834,M,,False,42,26.282598133677,Crotone,39.08333333,17.11666667,81177,Italy,,0470-01-01 BC,-470,-470,"Thebes, Greece",38.31666667,23.31666667,65806,Greece,,0390-01-01 BC,-390,,Greeks,,False,10.3715043218165,2489,35641,2.3048355702424,68.8184937667076,56,56,4,4,391,391,1,1,1,1,54,54,1,1,242753
q369662,104482,Vladimir_Voevodsky,Vladimir Voevodsky,MATHEMATICIAN,182.501625485349,M,,False,32,17.6359895440841,Moscow,55.75,37.61666667,19004,Russia,,1966-06-04,1966,1960,"Princeton, New Jersey",40.357115,-74.670165,84658,,,2017-09-30,2017,Soviet Union,,,False,4.78585443464624,53,10721,3.3059747146553,40.0453373406207,716,716,266,266,1476,1476,289,289,387,387,,,41,41,104482
q168550,836189,Eric_W._Weisstein,Eric W. Weisstein,MATHEMATICIAN,1.59678747121848,M,,True,18,15.343416705619,"Bloomington, Indiana",39.16222222,-86.52916667,112487,United States,,1969-03-18,1969,1960,,,,,,,,,United States,,,False,3.51239641177519,50,8158,2.79716473849931,32.4163859181234,742,742,533,533,9886,9886,8,8,,,,,,,836189
q327301,30871906,George_David_Birkhoff,George David Birkhoff,MATHEMATICIAN,155.243554209475,M,,False,26,20.8636671058069,"Overisel Township, Michigan",42.71833333,-85.96305556,24109126,United States,,1884-03-21,1884,1880,"Cambridge, Massachusetts",42.37361111,-71.11055556,5685,United States,,1944-11-12,1944,,United States,,False,5.14953227897648,135,5650,3.02876932840388,50.7860191251762,447,447,80,80,3240,3240,1,1,142,142,2441,2441,41,41,30871906
q178217,9110,Diophantus,Diophantus,MATHEMATICIAN,0,M,,False,63,28.0774965739292,Alexandria,31.2,29.91666667,12984,Egypt,,,201,200,,,,,,,,300,,,,False,12.3365176549702,1818,82509,2.82202647844313,74.7913434747974,25,25,1,1,30,30,10,10,2,2,,,,,9110
q155907,212838,"Sir_George_Stokes,_1st_Baronet","Sir George Stokes, 1st Baronet",MATHEMATICIAN,0,M,,False,45,26.4971593665238,Skreen,54.2433,-8.7311,2097459,Ireland,,1819-08-13,1819,1810,Cambridge,52.2080555556,0.1225,17867,United Kingdom,,1903-02-01,1903,,,,False,14.6095172877038,200,31677,1.94407487861085,69.5324851370473,49,49,9,9,11,11,1,1,8,8,185,185,9,9,212838
q1398547,1860707,Solomon_W._Golomb,Solomon W. Golomb,MATHEMATICIAN,15.7190567378898,M,,False,16,18.9576244031335,Baltimore,39.28333333,-76.61666667,26997138,United States,,1932-05-30,1932,1930,,,,,,,2016-05-01,2016,United States,,,False,4.19979424683113,87,3675,2.4312469439498,44.4433167499543,648,648,283,283,5768,5768,47,47,294,294,,,,,1860707
q333494,658970,Michael_Freedman,Michael Freedman,MATHEMATICIAN,9.55799517274347,M,,True,31,20.187857967706,Los Angeles,34.05,-118.25,18110,United States,,1951-04-21,1951,1950,,,,,,,,,,,,True,6.61138275837245,68,8957,3.00904916885366,48.5371417944549,531,531,164,164,4027,4027,119,119,,,,,,,658970
q176588,6647964,Akshay_Venkatesh,Akshay Venkatesh,MATHEMATICIAN,119.293927290331,M,,True,21,13.5303666588547,New Delhi,28.61388889,77.20888889,51585,India,,1981-11-21,1981,1980,,,,,,,,,India,,,False,2.5746322523206,38,11924,3.35470502880693,26.3831334511779,746,746,746,746,717,717,23,23,,,,,,,6647964
q60178,314528,Johannes_Trithemius,Johannes Trithemius,MATHEMATICIAN,1.08480804840078,M,,False,27,24.165740806905,Trittenheim,49.82583333,6.90055556,9877273,Germany,,1462-02-01,1462,1460,Würzburg,49.78333333,9.93333333,30876585,Germany,,1516-12-13,1516,,,,False,7.91923184004402,557,16813,2.1756362827948,61.7742675404589,131,131,4,4,697,697,1,1,7,7,598,598,2,2,314528
q57561,52146,Julius_Plücker,Julius Plücker,MATHEMATICIAN,1.52057153827176,M,,False,32,22.1816902439056,Elberfeld,51.26666667,7.13333333,331725,Germany,,1801-06-16,1801,1800,Bonn,50.73333333,7.1,3295,Germany,,1868-05-22,1868,,,,False,6.03588765600254,218,7076,2.98554896012547,55.1719798787784,282,282,23,23,1577,1577,6,6,20,20,1342,1342,19,19,52146
q723574,629100,Pierre_Fatou,Pierre Fatou,MATHEMATICIAN,12.0151655117793,M,,False,16,20.2174032256763,Lorient,47.75,-3.36,328288,France,,1878-02-28,1878,1870,Pornichet,47.2775,-2.3389,15810455,France,,1929-08-09,1929,,,,False,5.65432314698155,141,3854,1.8575484238544,48.6354589925124,527,527,118,118,2853,2853,3,3,75,75,2936,2936,1,1,629100
q312629,3632522,Hippocrates_of_Chios,Hippocrates of Chios,MATHEMATICIAN,10.3424053212156,M,,False,32,24.6518745812209,Chios,38.4,26.01666667,17067,Greece,,0470-01-01 BC,-470,-470,,,,,,,0410-01-01 BC,-410,,,,False,10.0811490061971,2489,11770,2.13215468300937,63.3919657382504,110,110,7,7,156,156,2,2,1,1,,,,,3632522
q313590,340,Alain_Connes,Alain Connes,MATHEMATICIAN,48.262865687053,M,,True,29,21.1785257566583,Draguignan,43.5403,6.4667,1201522,France,,,1947,1940,,,,,,,,,,,,False,5.89984820813991,72,16942,2.53053989022799,51.8337683229319,407,407,169,169,2419,2419,1,1,,,,,,,340
q191021,49695,Adrien-Marie_Legendre,Adrien-Marie Legendre,MATHEMATICIAN,0,M,,False,48,25.5817362197045,Paris,48.8567,2.3508,22989,France,,1752-09-18,1752,1750,Paris,48.8567,2.3508,22989,France,,1833-01-09,1833,France,France,,False,9.2171453730652,267,35956,3.07466443961091,66.4862487859309,81,81,5,5,492,492,115,115,5,5,535,535,239,239,49695
q22662,290931,Maurice_René_Fréchet,Maurice René Fréchet,MATHEMATICIAN,3.99009051859415,M,,False,24,21.5213479362951,"Maligny, Yonne",47.8708,3.7653,15897750,France,,,1878,1870,Paris,48.8565777778,2.35182777778,22989,France,,1973-06-04,1973,,,,False,7.4285364767749,141,4475,2.27380527414738,52.97457122835,363,363,73,73,2232,2232,1,1,96,96,2338,2338,1039,1039,290931
q433841,960620,Johannes_de_Sacrobosco,Johannes de Sacrobosco,MATHEMATICIAN,1.70559262875953,M,,False,19,22.5963969088552,Dumfriesshire,55.16666667,-3.5,441159,United Kingdom,,1195-01-01,1195,1190,Paris,48.8567,2.3508,22989,France,,1256-01-01,1256,,France,,False,7.74167390708633,824,5761,1.69464860068658,56.5519914310418,245,245,4,4,1111,1111,1,1,2,2,1684,1684,727,727,960620
q726827,1403467,Evgraf_Fedorov,Evgraf Fedorov,MATHEMATICIAN,7.25917879418168,M,,False,22,20.2806860479714,Orenburg,51.78333333,55.1,483162,Russia,,1853-12-22,1853,1850,Saint Petersburg,59.9375,30.30861111,24320051,Russia,,1919-05-21,1919,Russia,Russia,,False,4.94205717517396,166,3221,2.36772381306822,48.8460440474636,521,521,55,55,1036,1036,4,4,93,93,947,947,172,172,1403467
q635389,11174410,Jean-Baptiste-Charles-Joseph_Bélanger,Jean-Baptiste-Charles-Joseph Bélanger,MATHEMATICIAN,5.89814409922105,M,,False,15,19.9318108875639,Valenciennes,50.358,3.5233,491026,France,,1790-04-04,1790,1790,Neuilly-sur-Seine,48.8881,2.2686,234647,France,,1874-05-08,1874,France,France,,False,7.31234541382645,229,1043,1.39497432261966,47.6850987520257,561,561,32,32,2952,2952,15,15,33,33,3011,3011,54,54,11174410
q65201,605134,Richard_Brauer,Richard Brauer,MATHEMATICIAN,71.4389813521546,M,,False,16,18.2445714501202,,,,,,,1901-02-10,1901,1900,"Belmont, Massachusetts",42.39583333,-71.17916667,257271,United States,,1977-04-17,1977,,,,False,3.98412680624123,118,1703,2.57721803428786,42.0705038783474,692,692,194,194,,,,,155,155,4361,4361,6,6,605134
q207718,97805,Isaac_Barrow,Isaac Barrow,MATHEMATICIAN,0,M,,False,43,24.9380814931518,London,51.50722222,-0.1275,17867,United Kingdom,,,1631,1630,London,51.50722222,-0.1275,17867,United Kingdom,,1677-05-04,1677,,United Kingdom,,False,8.43302434368523,388,21006,3.00762125057595,64.344371084449,100,100,1,1,434,434,28,28,3,3,377,377,91,91,97805
q522982,1317697,Guðbrandur_Þorláksson,Guðbrandur Þorláksson,MATHEMATICIAN,4.15595254869369,M,,False,19,21.2909492735608,Iceland,65,-18,,Iceland,,,1542,1540,Hólar,65.7319444444,-19.1136111111,,Iceland,,1627-07-20,1627,,,,False,7.58594747286242,477,1703,1.71530881503195,52.2078779410889,389,389,12,12,23,23,9,9,12,12,11,11,1,1,1317697
q448592,331211,Saharon_Shelah,Saharon Shelah,MATHEMATICIAN,84.7144603038907,M,,True,18,19.1025028762465,Jerusalem,31.78333333,35.21666667,16043,Israel,,1945-07-03,1945,1940,,,,,,,,,Palestine - United Kingdom,,,False,4.87942490424727,74,5513,2.26570568657216,44.925426114159,632,632,298,298,213,213,57,57,,,,,,,331211
q983400,2553745,Johannes_de_Muris,Johannes de Muris,MATHEMATICIAN,2.56257650619593,M,,False,15,21.4752594360685,Normandy,48.88,0.17,21724,France,,,,,Paris,48.8567,2.3508,22989,France,,1350-01-01,1350,,France,,False,7.67123996550928,729,2329,1.28644668715911,52.8212033948555,369,369,,,2264,2264,8,8,9,9,2362,2362,1048,1048,2553745
q267066,36940578,Shinichi_Mochizuki,Shinichi Mochizuki,MATHEMATICIAN,97.757409370887,M,,True,17,17.8691571754263,Tokyo,35.68972222,139.69222222,30057,Japan,,1969-03-29,1969,1960,,,,,,,,,,,,False,4.01879467951528,50,70498,2.25804925849612,40.821244872527,706,706,271,271,1018,1018,99,99,,,,,,,36940578
q354384,276810,Theon_of_Alexandria,Theon of Alexandria,MATHEMATICIAN,2.56675117436021,M,,False,24,24.1258093336662,Alexandria,31.2,29.91666667,12984,Egypt,,0335-01-01,335,330,Alexandria,31.2,29.91666667,12984,Egypt,,,405,Rome,,,False,8.71518079618554,1684,14112,1.81866751062546,61.6413883296192,133,133,3,3,147,147,37,37,1,1,101,101,36,36,276810
q58795,605155,Elwin_Bruno_Christoffel,Elwin Bruno Christoffel,MATHEMATICIAN,2.26505224806769,M,,False,24,21.5756167340569,Monschau,50.56,6.25638889,463967,Germany,,1829-11-10,1829,1820,Strasbourg,48.58,7.75,37407,France,,1900-03-15,1900,,Germany,,False,6.33636864947017,190,5217,2.26530227797841,53.1551604837647,354,354,25,25,1909,1909,1,1,37,37,2303,2303,13,13,605155
q574521,1716898,Yang_Hui,Yang Hui,MATHEMATICIAN,14.1581418225353,,,False,17,21.836306763724,,,,,,,1238-01-01,1238,1230,,,,,,,1298-01-01,1298,,,,False,6.15517811273761,781,5997,1.90906593679198,54.0226537818145,321,321,4,4,,,,,6,6,,,,,1716898
q374117,241528,Jacob_Bronowski,Jacob Bronowski,MATHEMATICIAN,9.01742173358556,M,,False,17,18.8702481891214,Łódź,51.77694444,19.45472222,44812,Poland,,,,,"East Hampton (town), New York",40.95694444,-72.19888889,723786,United States,,1974-08-22,1974,,,,False,2.80832243907878,111,6728,2.9229525434218,44.1525565695162,655,655,,,698,698,19,19,144,144,3979,3979,8,8,241528
q76641,41887,Felix_Klein,Felix Klein,MATHEMATICIAN,0,M,,False,55,25.5169738742096,Düsseldorf,51.23333333,6.78333333,65711,Germany,,1849-04-25,1849,1840,Göttingen,51.53388889,9.93555556,23307013,Germany,,1925-06-22,1925,Prussia,,,True,9.94787561041802,170,31206,3.1439239052005,66.2707403495149,83,83,4,4,380,380,5,5,13,13,327,327,15,15,41887
q528493,422271,Stanisław_Leśniewski,Stanisław Leśniewski,MATHEMATICIAN,6.57485015147058,M,,False,17,20.7128413881785,Serpukhov,54.91666667,37.4,377699,Russia,,1886-03-30,1886,1880,Warsaw,52.23333333,21.01666667,32908,Poland,,1939-05-13,1939,,Poland,,False,6.73136827917935,133,3769,1.69782560720963,50.2841192274957,464,464,116,116,937,937,1,1,70,70,266,266,75,75,422271
q315431,805652,John_Charles_Fields,John Charles Fields,MATHEMATICIAN,93.16587811425,M,,False,33,23.9742692518824,"Hamilton, Ontario",43.25666667,-79.86916667,14288,Canada,,1863-05-14,1863,1860,Toronto,43.74166667,-79.37333333,64646,Canada,,1932-08-09,1932,,Canada,,False,10.4918785452652,156,11685,2.07240796527783,61.1371112558037,139,139,26,26,39,39,1,1,18,18,20,20,6,6,805652
q313168,862189,John_G._Thompson,John G. Thompson,MATHEMATICIAN,73.8880553757571,M,,True,33,22.0978681988687,"Ottawa, Kansas",38.61194444,-95.26638889,114565,United States,,1932-10-13,1932,1930,,,,,,,,,,,,False,7.8354437544713,87,6982,2.95951197956582,54.8930468394474,289,289,123,123,2070,2070,1,1,,,,,,,862189
q470581,859830,Eduard_Čech,Eduard Čech,MATHEMATICIAN,10.0107576983507,M,,False,19,19.5291467425492,Stračov,50.29972222,15.64277778,13533114,Czechia,,1893-06-29,1893,1890,Prague,50.08333333,14.41666667,23844,Czechia,,1960-03-15,1960,,Czechoslovakia,,False,5.58084352401911,126,1932,2.34752612430046,46.3451608663637,602,602,153,153,253,253,1,1,121,121,176,176,147,147,859830
q184433,2027,Andrew_Wiles,Andrew Wiles,MATHEMATICIAN,0,M,,True,53,23.9523503738575,Cambridge,52.20527778,0.11916667,36995,United Kingdom,,1953-04-11,1953,1950,,,,,,,,,United Kingdom,,,False,8.295531172724,66,123158,3.36385551071184,61.064172218543,141,141,31,31,659,659,8,8,,,,,,,2027
q559548,673618,Michael_Scot,Michael Scot,MATHEMATICIAN,1.34470086208622,M,,False,20,21.8986936489628,"Durham, England",54.77610016,-1.5733,70348,United Kingdom,,1175-01-01,1175,1170,,,,,,,,1232,,,,False,5.17735671539335,844,7882,2.30847994873502,54.2302574439109,310,310,13,13,1433,1433,1,1,3,3,,,,,673618
q2342579,1768580,Sharaf_al-Dīn_al-Ṭūsī,Sharaf al-Dīn al-Ṭūsī,MATHEMATICIAN,7.37691399422681,M,,False,17,21.3316044127554,"Tus, Iran",36.45416667,59.56694444,518891,Iran,,,1135,1130,Baghdad,33.33333333,44.38333333,4492,Iraq,,1213-01-01,1213,,,,False,6.0299090731181,884,3881,1.96408485096482,52.3431652814898,383,383,8,8,202,202,7,7,7,7,150,150,67,67,1768580
q538846,1180916,Garrett_Birkhoff,Garrett Birkhoff,MATHEMATICIAN,71.4389813521546,M,,False,15,18.2848450003793,,,,,,,1911-01-19,1911,1910,"Water Mill, New York",40.91666667,-72.34722222,2852225,United States,,1996-11-22,1996,,,,False,3.6444627724428,108,2484,2.49114521411447,42.2045214124398,685,685,212,212,,,,,187,187,4331,4331,1,1,1180916
q92619,99326,Richard_Hamming,Richard Hamming,MATHEMATICIAN,2.82147158416845,M,,False,33,21.8941913940701,Chicago,41.88444444,-87.6325,6886,United States,,1915-02-11,1915,1910,"Monterey, California",36.60305556,-121.89361111,40444,United States,,1998-01-07,1998,United States,,,False,5.57309428591289,104,11485,3.43405423754401,54.2152753751663,313,313,83,83,2244,2244,80,80,77,77,1755,1755,2,2,99326
q353422,605144,Ernesto_Cesàro,Ernesto Cesàro,MATHEMATICIAN,83.8193894495838,M,,False,22,21.3175100533724,Naples,40.845,14.25833333,55880,Italy,,1859-03-12,1859,1850,Torre Annunziata,40.75,14.45,2059253,Italy,,1906-09-12,1906,,,,False,7.98688049928424,160,2866,1.89992046547054,52.2962637474314,385,385,56,56,2002,2002,68,68,28,28,1935,1935,1,1,605144
q451693,1426858,"William_Brouncker,_2nd_Viscount_Brouncker","William Brouncker, 2nd Viscount Brouncker",MATHEMATICIAN,29.2385414851203,M,,False,19,19.3977665791334,Castlelyons,52.08916667,-8.23416667,10522982,Ireland,,1620-01-01,1620,1620,Westminster,51.49472222,-0.13527778,37432,United Kingdom,,1684-04-05,1684,,,,False,4.05058635937813,399,1666,2.79306056557354,45.9079695729128,612,612,20,20,168,168,1,1,14,14,1960,1960,22,22,1426858
q470503,5491766,Walter_Rudin,Walter Rudin,MATHEMATICIAN,102.848878407092,M,,False,17,19.3005797134102,Vienna,48.2,16.36666667,55866,Austria,,1921-05-02,1921,1920,"Madison, Wisconsin",43.06666667,-89.4,57863,United States,,2010-05-20,2010,Austria,,,False,3.76024567980204,98,5931,2.7459266622749,45.5845626716938,619,619,235,235,597,597,285,285,227,227,3670,3670,9,9,5491766
q78448,543082,Heinz_Hopf,Heinz Hopf,MATHEMATICIAN,59.4390975224502,M,,False,17,18.9819726614498,Wrocław,51.1,17.03333333,33603,Poland,,1894-11-19,1894,1890,Zollikon,47.33333333,8.58333333,6881398,Switzerland,,1971-06-03,1971,,,,False,3.77127806733086,125,3202,2.44416846843679,44.5243399902201,645,645,154,154,692,692,48,48,129,129,437,437,5,5,543082
q920912,1722064,Theaetetus_(mathematician),Theaetetus,MATHEMATICIAN,15.3780659531302,M,,False,21,21.2300098463759,Athens,37.96666667,23.71666667,1216,Greece,,,-417,-410,,,,,,,0369-01-01 BC,-369,,,,False,5.10304883133647,2435,3228,1.97629038233092,52.0050909578761,397,397,1,1,425,425,91,91,1,1,,,,,1722064
q107441,194660,Leonid_Kantorovich,Leonid Kantorovich,MATHEMATICIAN,0,M,,False,57,24.610964372462,Saint Petersburg,59.95,30.3,24320051,Russia,,1912-01-19,1912,1910,Moscow,55.75,37.61666667,19004,Russia,,1986-04-07,1986,,Soviet Union,,False,7.46639222345219,107,33872,3.65844969560434,63.2558296076686,111,111,32,32,218,218,34,34,25,25,221,221,113,113,194660
q452158,1529094,Mary_Cartwright,Mary Cartwright,MATHEMATICIAN,60.5388494962338,,,False,25,19.8736096329785,Aynho,52,-1.25,1698361,United Kingdom,,,,,Cambridge,52.20527778,0.11916667,36995,United Kingdom,,1998-04-03,1998,,,,False,3.2319168854874,119,6656,3.19304730652516,47.491423534161,571,571,,,2523,2523,1,1,150,150,1795,1795,70,70,1529094
q76365,25929,Regiomontanus,Regiomontanus,MATHEMATICIAN,0,M,,False,45,25.8060514094567,"Königsberg, Bavaria",50.07777778,10.56666667,5933384,Germany,,1436-06-06,1436,1430,Papal States,42.82111111,12.60277778,59534,Italy,,1476-07-06,1476,,Papal States,,False,9.64778772116035,583,24958,2.58202165225042,67.2326982148153,71,71,1,1,321,321,1,1,2,2,516,516,11,11,25929
q983291,2841530,Oronce_Finé,Oronce Finé,MATHEMATICIAN,3.08646005807705,M,,False,16,22.2585679233897,Briançon,44.8964,6.6356,445836,France,,,,,Paris,48.8567,2.3508,22989,France,,1555-08-08,1555,,France,,False,7.04049291962937,525,6225,1.50559286998945,55.4278042837519,274,274,,,1789,1789,1,1,9,9,1867,1867,811,811,2841530
q560998,1664575,D._R._Kaprekar,D. R. Kaprekar,MATHEMATICIAN,23.5067047095498,M,,False,19,17.7998764104722,Dahanu,19.97,72.73,5073158,India,,1905-01-17,1905,1900,Maharashtra,18.96,72.82,19189,India,,,1986,,,,False,1.98018071214282,114,4596,3.6868204226269,40.590700576843,709,709,233,233,503,503,1,1,187,187,315,315,3,3,1664575
